Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FS User,Chrome 76.0.3809.132,,2019-09-24 16:06:58,2019-09-24 16:07:45,47.181s,FAILED
,,,,,,
Test Cases/FS/Search User,Chrome 76.0.3809.132,,2019-09-24 16:06:58,2019-09-24 16:07:24,25.316s,PASSED
"openBrowser("""")",Chrome 76.0.3809.132,,2019-09-24 16:06:59,2019-09-24 16:07:04,5.050s,PASSED
"navigateToUrl(""https://astra-ai-fs-admin.azurewebsites.net/#/track-fs-position"")",Chrome 76.0.3809.132,,2019-09-24 16:07:04,2019-09-24 16:07:17,12.921s,PASSED
"click(findTestObject(""Page_User FS/a_User Management""))",Chrome 76.0.3809.132,,2019-09-24 16:07:17,2019-09-24 16:07:17,0.466s,PASSED
"click(findTestObject(""Page_User FS/a_User""))",Chrome 76.0.3809.132,,2019-09-24 16:07:17,2019-09-24 16:07:18,0.790s,PASSED
delay(5),Chrome 76.0.3809.132,,2019-09-24 16:07:18,2019-09-24 16:07:23,5.037s,PASSED
"setText(findTestObject(""Page_User FS/input_Search by Email_col-md-9""), ""sbodionl0337@ai.astra.co.id"")",Chrome 76.0.3809.132,,2019-09-24 16:07:23,2019-09-24 16:07:24,0.316s,PASSED
"click(findTestObject(""Page_User FS/button_Search""))",Chrome 76.0.3809.132,,2019-09-24 16:07:24,2019-09-24 16:07:24,0.102s,PASSED
"if (verifyElementPresent(findTestObject(""Page_User FS/td_sbodionl0337ai.astra.co.id""), 10))",Chrome 76.0.3809.132,,2019-09-24 16:07:24,2019-09-24 16:07:24,0.083s,PASSED
,,,,,,
Test Cases/FS/Clear Search User,Chrome 76.0.3809.132,,2019-09-24 16:07:24,2019-09-24 16:07:45,20.749s,FAILED
"openBrowser("""")",Chrome 76.0.3809.132,,2019-09-24 16:07:24,2019-09-24 16:07:28,3.317s,PASSED
"navigateToUrl(""https://astra-ai-fs-admin.azurewebsites.net/"")",Chrome 76.0.3809.132,,2019-09-24 16:07:28,2019-09-24 16:07:37,8.984s,PASSED
"click(findTestObject(""Page_Clear Search FS/a_User Management""))",Chrome 76.0.3809.132,,2019-09-24 16:07:37,2019-09-24 16:07:37,0.114s,PASSED
"click(findTestObject(""Page_Clear Search FS/a_User""))",Chrome 76.0.3809.132,,2019-09-24 16:07:37,2019-09-24 16:07:37,0.247s,PASSED
"waitForElementNotVisible(findTestObject(""Page_Clear Search FS/td_sbobesti0328ai.astra.co.id""), 5, STOP_ON_FAILURE)",Chrome 76.0.3809.132,,2019-09-24 16:07:37,2019-09-24 16:07:43,6.050s,PASSED
"click(findTestObject(""Page_Clear Search FS/td_sbobesti0328ai.astra.co.id""))",Chrome 76.0.3809.132,,2019-09-24 16:07:43,2019-09-24 16:07:43,0.121s,PASSED
"setText(findTestObject(""Page_Clear Search FS/input_Search by Email_col-md-9""), ""sbobesti0328@ai.astra.co.id"")",Chrome 76.0.3809.132,,2019-09-24 16:07:43,2019-09-24 16:07:44,0.469s,PASSED
"click(findTestObject(""Page_Clear Search FS/button_Search""))",Chrome 76.0.3809.132,,2019-09-24 16:07:44,2019-09-24 16:07:44,0.114s,PASSED
"if (verifyElementPresent(findTestObject(""Page_Clear Search FS/td_sbobesti0328ai.astra.co.id""), 5))",Chrome 76.0.3809.132,,2019-09-24 16:07:44,2019-09-24 16:07:44,0.033s,PASSED
"if (verifyElementPresent(findTestObject(""Page_Clear Search FS/button_Clear""), 10))",Chrome 76.0.3809.132,,2019-09-24 16:07:44,2019-09-24 16:07:45,0.865s,PASSED
